XX:MaxNewSize,Xms,Xmx,protocol,maxHttpHeaderSize,maxThreads,minSpareThreads,maxSpareThreads,minProcessors,acceptCount,enableLookups,connectionTimeout,disableUploadTimeout,compressionMinSize,errorPersentage,throughput
64,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,500,100,250,10,50,FALSE,30000,FALSE,2048,0,8640.304139
256,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,2000,100,250,10,50,FALSE,30000,FALSE,2048,0,8627.879555
128,128,256,org.apache.coyote.http11.Http11AprProtocol,16384,500,50,250,10,50,FALSE,30000,TRUE,1024,0,8455.944529
256,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,500,100,250,10,50,FALSE,30000,FALSE,2048,0,8450.228156
64,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,2000,100,250,10,50,FALSE,30000,FALSE,1024,0,8355.847701
256,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,1000,50,250,10,50,FALSE,20000,FALSE,2048,0,8263.324611
64,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,2000,100,250,10,50,FALSE,30000,FALSE,2048,0,8262.641842
256,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,2000,100,500,10,50,FALSE,30000,FALSE,2048,0,8243.796543
128,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,2000,100,250,10,50,FALSE,30000,TRUE,2048,0,8234.293086
256,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,1000,50,250,10,50,FALSE,30000,FALSE,2048,0,8218.052322
128,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,2000,100,75,10,50,FALSE,20000,FALSE,1024,0,8197.617226
128,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,2000,100,250,10,50,FALSE,30000,FALSE,2048,0,8163.93175
64,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,500,100,250,10,50,FALSE,20000,FALSE,2048,0,8138.683161
128,128,256,org.apache.coyote.http11.Http11AprProtocol,16384,500,200,500,100,200,FALSE,10000,FALSE,1024,0,8131.40348
64,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,500,100,250,10,50,FALSE,30000,FALSE,1024,0,8115.785202
128,512,512,org.apache.coyote.http11.Http11AprProtocol,16384,2000,50,250,100,200,FALSE,10000,FALSE,1024,0,8104.384472
128,256,256,org.apache.coyote.http11.Http11AprProtocol,16384,2000,100,250,10,50,FALSE,30000,FALSE,1024,0,8065.166546
128,128,256,org.apache.coyote.http11.Http11AprProtocol,16384,2000,100,250,10,50,FALSE,30000,FALSE,2048,0,8032.988807
64,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,500,50,500,10,50,FALSE,30000,FALSE,2048,0,8027.614996
64,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,500,50,250,10,200,FALSE,20000,FALSE,2048,0,8016.674683
256,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,1000,50,250,10,50,FALSE,20000,FALSE,1024,0,8016.246259
256,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,1000,100,250,10,200,FALSE,10000,FALSE,2048,0,8014.961261
128,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,2000,50,500,50,100,FALSE,10000,TRUE,2048,0,8008.328662
128,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,2000,100,250,10,50,FALSE,20000,FALSE,1024,0,7995.948719
256,128,512,org.apache.coyote.http11.Http11AprProtocol,16384,1000,50,250,100,50,FALSE,30000,FALSE,2048,0,7960.72708
128,128,256,org.apache.coyote.http11.Http11AprProtocol,16384,500,50,250,100,50,FALSE,10000,FALSE,2048,0,7950.178879
256,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,2000,100,75,10,50,FALSE,20000,FALSE,1024,0,7947.019868
256,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,500,50,250,100,200,FALSE,20000,FALSE,2048,0,7944.494465
256,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,500,200,250,10,50,FALSE,20000,FALSE,1024,0,7944.494465
128,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,1000,50,250,10,50,FALSE,30000,FALSE,2048,0,7917.238467
128,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,2000,50,75,10,50,FALSE,20000,FALSE,2048,0,7909.723687
256,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,1000,100,250,10,50,FALSE,30000,FALSE,2048,0,7889.338873
64,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,500,100,250,10,100,FALSE,30000,FALSE,1024,0,7883.119613
256,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,500,100,75,10,50,FALSE,30000,FALSE,2048,0,7868.852459
128,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,1000,200,250,10,50,FALSE,30000,FALSE,2048,0,7858.957902
256,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,2000,100,250,10,50,FALSE,30000,FALSE,1024,0,7857.105442
128,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,2000,100,75,10,50,FALSE,30000,TRUE,1024,0,7827.78865
256,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,500,50,250,100,200,FALSE,30000,FALSE,2048,0,7825.338446
64,256,256,org.apache.coyote.http11.Http11AprProtocol,8192,1000,100,250,50,200,FALSE,20000,TRUE,1024,0,7806.604387
128,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,500,50,500,100,50,FALSE,10000,FALSE,2048,0,7804.370447
256,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,500,100,250,10,200,FALSE,20000,FALSE,2048,0,7794.839816
256,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,2000,100,75,10,50,FALSE,20000,TRUE,2048,0,7790.791285
64,512,512,org.apache.coyote.http11.Http11AprProtocol,4096,2000,50,250,10,50,FALSE,20000,FALSE,1024,0,7788.768596
256,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,500,200,75,10,50,FALSE,20000,FALSE,1024,0,7784.322375
128,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,1000,100,250,10,50,FALSE,30000,TRUE,2048,0,7782.101167
256,256,512,org.apache.coyote.http11.Http11AprProtocol,4096,2000,50,250,100,50,FALSE,10000,TRUE,2048,0,7775.848215
128,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,500,100,250,10,50,FALSE,20000,FALSE,1024,0,7764.377038
128,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,500,100,75,10,50,FALSE,20000,FALSE,2048,0,7756.748371
128,256,256,org.apache.coyote.http11.Http11AprProtocol,16384,1000,50,250,10,200,FALSE,20000,FALSE,2048,0,7756.347278
128,128,256,org.apache.coyote.http11.Http11AprProtocol,4096,2000,50,250,50,100,FALSE,10000,TRUE,1024,0,7747.333626
